Eigenvector Count,Signal Matrix Type,Model Matrix Type,MSE
3,M_laplacianUndirected,M_laplacianDirected,0.05182388946168539
3,M_laplacianUndirected,M_normalizedLaplacianDirected,0.05466165954319305
3,M_laplacianUndirected,M_moebius,0.01261646546410036
3,M_laplacianUndirected,M_moebiusLaplacian,0.05587293215188063
3,M_laplacianUndirected,M_modifiedMoebius,0.019750772413859273
3,M_laplacianUndirected,M_shiftUndirected,0.019910820735593866
3,M_laplacianUndirected,M_laplacianUndirected,0.02271757148315877
3,M_laplacianUndirected,M_normalizedLaplacianUndirected,0.045096688253846
3,M_laplacianUndirected,M_leftNormalizedLaplacian,0.029296328058344572
3,M_laplacianUndirected,M_incidence,0.014386400557247917
3,M_laplacianUndirected,M_normalizedIncidence,0.013582989773311334
3,M_normalizedLaplacianUndirected,M_shiftDirected,0.0340973221341425
3,M_normalizedLaplacianUndirected,M_laplacianDirected,0.05253850323149665
3,M_normalizedLaplacianUndirected,M_normalizedLaplacianDirected,0.06673183627206074
3,M_normalizedLaplacianUndirected,M_moebius,0.020533137220325553
3,M_normalizedLaplacianUndirected,M_moebiusLaplacian,0.05469749607495707
3,M_normalizedLaplacianUndirected,M_modifiedMoebius,0.0314886270084819
3,M_normalizedLaplacianUndirected,M_shiftUndirected,0.016785973943198543
3,M_normalizedLaplacianUndirected,M_laplacianUndirected,0.03297391940409366
3,M_normalizedLaplacianUndirected,M_normalizedLaplacianUndirected,0.030153883454168827
3,M_normalizedLaplacianUndirected,M_leftNormalizedLaplacian,0.03685201059870362
3,M_normalizedLaplacianUndirected,M_incidence,0.018406660939928973
3,M_normalizedLaplacianUndirected,M_normalizedIncidence,0.0343884544282947
3,M_leftNormalizedLaplacian,M_shiftDirected,0.03575832934072249
3,M_leftNormalizedLaplacian,M_laplacianDirected,0.0538782259412318
3,M_leftNormalizedLaplacian,M_normalizedLaplacianDirected,0.05581374554453969
3,M_leftNormalizedLaplacian,M_moebius,0.02879250501106
3,M_leftNormalizedLaplacian,M_moebiusLaplacian,0.05493918003476927
3,M_leftNormalizedLaplacian,M_modifiedMoebius,0.016500550428418012
3,M_leftNormalizedLaplacian,M_shiftUndirected,0.022174044038218654
3,M_leftNormalizedLaplacian,M_laplacianUndirected,0.02363934096668733
3,M_leftNormalizedLaplacian,M_normalizedLaplacianUndirected,0.027671209934775034
3,M_leftNormalizedLaplacian,M_leftNormalizedLaplacian,0.034545014959368944
3,M_leftNormalizedLaplacian,M_incidence,0.014129765797138032
3,M_leftNormalizedLaplacian,M_normalizedIncidence,0.0262757622339145
3,M_incidence,M_shiftDirected,0.041465341783871
3,M_incidence,M_laplacianDirected,0.05372266617496061
3,M_incidence,M_normalizedLaplacianDirected,0.05419356606343825
3,M_incidence,M_moebius,0.024883435398187256
3,M_incidence,M_moebiusLaplacian,0.07719186173073043
3,M_incidence,M_modifiedMoebius,0.026578458734972953
3,M_incidence,M_shiftUndirected,0.0537500117926678
3,M_incidence,M_laplacianUndirected,0.01988492604309297
3,M_incidence,M_normalizedLaplacianUndirected,0.032436065218884605
3,M_incidence,M_leftNormalizedLaplacian,0.031065505876198517
3,M_incidence,M_incidence,0.012009203382720485
3,M_incidence,M_normalizedIncidence,0.022132363373694043
3,M_normalizedIncidence,M_shiftDirected,0.042549521804598936
3,M_normalizedIncidence,M_laplacianDirected,0.06122196633783574
3,M_normalizedIncidence,M_normalizedLaplacianDirected,0.06153353387165321
3,M_normalizedIncidence,M_moebius,0.035981279921763
3,M_normalizedIncidence,M_moebiusLaplacian,0.06727157884954296
3,M_normalizedIncidence,M_modifiedMoebius,0.04667189359668455
3,M_normalizedIncidence,M_shiftUndirected,0.02839044684174808
3,M_normalizedIncidence,M_laplacianUndirected,0.0231722118733178
