Eigenvector Count,Signal Matrix Type,Model Matrix Type,MSE
3,M_laplacianUndirected,M_laplacianDirected,0.12269413686311159
3,M_laplacianUndirected,M_normalizedLaplacianDirected,0.1312270548368665
3,M_laplacianUndirected,M_moebius,0.2241042789200736
3,M_laplacianUndirected,M_moebiusLaplacian,0.12347502560216393
3,M_laplacianUndirected,M_modifiedMoebius,0.1164974940811322
3,M_laplacianUndirected,M_shiftUndirected,0.09226154221409306
3,M_laplacianUndirected,M_laplacianUndirected,0.09588742694303928
3,M_laplacianUndirected,M_normalizedLaplacianUndirected,0.08693351652824245
3,M_laplacianUndirected,M_leftNormalizedLaplacian,0.09139717076790128
3,M_laplacianUndirected,M_incidence,0.09107013348414551
3,M_laplacianUndirected,M_normalizedIncidence,0.09121057687451074
3,M_normalizedLaplacianUndirected,M_shiftDirected,0.12171989430655518
3,M_normalizedLaplacianUndirected,M_laplacianDirected,0.12611554319208287
3,M_normalizedLaplacianUndirected,M_normalizedLaplacianDirected,0.2243276617053765
3,M_normalizedLaplacianUndirected,M_moebius,1.3483533326852524
3,M_normalizedLaplacianUndirected,M_moebiusLaplacian,0.1168787674536313
3,M_normalizedLaplacianUndirected,M_modifiedMoebius,0.205119771424342
3,M_normalizedLaplacianUndirected,M_shiftUndirected,0.08258702800636042
3,M_normalizedLaplacianUndirected,M_laplacianUndirected,0.08577336563769511
3,M_normalizedLaplacianUndirected,M_normalizedLaplacianUndirected,0.08531197081676632
3,M_normalizedLaplacianUndirected,M_leftNormalizedLaplacian,0.08575362657569591
3,M_normalizedLaplacianUndirected,M_incidence,0.08434418741804772
3,M_normalizedLaplacianUndirected,M_normalizedIncidence,0.08454423343478072
3,M_leftNormalizedLaplacian,M_shiftDirected,0.1230804367235476
3,M_leftNormalizedLaplacian,M_laplacianDirected,0.1432346166978383
3,M_leftNormalizedLaplacian,M_normalizedLaplacianDirected,0.15147926315700225
3,M_leftNormalizedLaplacian,M_moebius,0.17498830547426533
3,M_leftNormalizedLaplacian,M_moebiusLaplacian,0.11946798767876013
3,M_leftNormalizedLaplacian,M_modifiedMoebius,0.09896380640683568
3,M_leftNormalizedLaplacian,M_shiftUndirected,0.10256730950591261
3,M_leftNormalizedLaplacian,M_laplacianUndirected,0.08885509111671218
3,M_leftNormalizedLaplacian,M_normalizedLaplacianUndirected,0.08859867027999983
3,M_leftNormalizedLaplacian,M_leftNormalizedLaplacian,0.08775922351460781
3,M_leftNormalizedLaplacian,M_incidence,0.08982043111632732
3,M_leftNormalizedLaplacian,M_normalizedIncidence,0.09034206183676077
3,M_incidence,M_shiftDirected,0.1385019056397474
3,M_incidence,M_laplacianDirected,0.14117401412530195
3,M_incidence,M_normalizedLaplacianDirected,0.13680302372470954
3,M_incidence,M_moebius,0.16355634101427188
3,M_incidence,M_moebiusLaplacian,0.12425456621831196
3,M_incidence,M_modifiedMoebius,1.234461773562787
3,M_incidence,M_shiftUndirected,0.10331238461853177
3,M_incidence,M_laplacianUndirected,0.10155600558076175
3,M_incidence,M_normalizedLaplacianUndirected,0.09646775578417793
3,M_incidence,M_leftNormalizedLaplacian,0.09567947455996867
3,M_incidence,M_incidence,0.09846341840389197
3,M_incidence,M_normalizedIncidence,0.09598228085044486
3,M_normalizedIncidence,M_shiftDirected,0.11816953428423942
3,M_normalizedIncidence,M_laplacianDirected,0.12747763905725107
3,M_normalizedIncidence,M_normalizedLaplacianDirected,0.13493268938392022
3,M_normalizedIncidence,M_moebius,0.10430997108809903
3,M_normalizedIncidence,M_moebiusLaplacian,0.11156015575900345
3,M_normalizedIncidence,M_modifiedMoebius,0.19933896748383748
3,M_normalizedIncidence,M_shiftUndirected,0.08633364162940217
3,M_normalizedIncidence,M_laplacianUndirected,0.08505059295983959
3,M_normalizedIncidence,M_normalizedLaplacianUndirected,0.08433664721604987
3,M_normalizedIncidence,M_leftNormalizedLaplacian,0.08486712611272673
3,M_normalizedIncidence,M_incidence,0.08302991022978973
3,M_normalizedIncidence,M_normalizedIncidence,0.08350999243914072
6,M_shiftDirected,M_shiftDirected,0.7192542958466653
6,M_shiftDirected,M_laplacianDirected,0.07301645626166152
6,M_shiftDirected,M_normalizedLaplacianDirected,0.08833540464060832
6,M_shiftDirected,M_moebius,0.05496630594777179
6,M_shiftDirected,M_moebiusLaplacian,0.08232812058154784
6,M_shiftDirected,M_modifiedMoebius,0.03914760965581076
6,M_shiftDirected,M_shiftUndirected,0.03383522604947795
6,M_shiftDirected,M_laplacianUndirected,0.04636355868239398
6,M_shiftDirected,M_normalizedLaplacianUndirected,0.04795495792327422
6,M_shiftDirected,M_leftNormalizedLaplacian,0.07769436376856029
6,M_shiftDirected,M_incidence,0.028160427138549715
6,M_shiftDirected,M_normalizedIncidence,0.0377607735493619
6,M_laplacianDirected,M_shiftDirected,0.04424953785486674
6,M_laplacianDirected,M_laplacianDirected,0.08135275217593904
6,M_laplacianDirected,M_normalizedLaplacianDirected,0.07146908692067834
6,M_laplacianDirected,M_moebius,0.02890872954279181
6,M_laplacianDirected,M_moebiusLaplacian,0.13865912373214462
6,M_laplacianDirected,M_modifiedMoebius,0.024683940222881298
6,M_laplacianDirected,M_shiftUndirected,0.025042707531874188
6,M_laplacianDirected,M_laplacianUndirected,0.035971151832898986
6,M_laplacianDirected,M_normalizedLaplacianUndirected,0.8337719791071875
6,M_laplacianDirected,M_leftNormalizedLaplacian,0.11600756449714623
6,M_laplacianDirected,M_incidence,0.025779385919323772
6,M_laplacianDirected,M_normalizedIncidence,0.044486300700538293
6,M_normalizedLaplacianDirected,M_shiftDirected,0.463805829619841
6,M_normalizedLaplacianDirected,M_laplacianDirected,0.07372946969702171
6,M_normalizedLaplacianDirected,M_normalizedLaplacianDirected,0.08169243126574843
6,M_normalizedLaplacianDirected,M_moebius,0.03318863620610218
6,M_normalizedLaplacianDirected,M_moebiusLaplacian,0.08726912443764198
6,M_normalizedLaplacianDirected,M_modifiedMoebius,0.031221669618552533
6,M_normalizedLaplacianDirected,M_shiftUndirected,0.030362335836442454
6,M_normalizedLaplacianDirected,M_laplacianUndirected,0.029336380250781034
